Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Brand (product.metafields.custom.brand),Color (product.metafields.custom.color),InBox (product.metafields.custom.inbox),Model (product.metafields.custom.model),Region (product.metafields.custom.region),Sim (product.metafields.custom.sim),Storage (product.metafields.custom.storage),Warranty (product.metafields.custom.warranty),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
apple-iphone-13-128gb-blue-indian,Apple iPhone 13 - 128GB - Blue (indian),"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","",true,Title,Default Title,,,,,,,,APP-IPH13-128BL(indian),0.0,shopify,0,deny,manual,382.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0703/7612/8663/files/71xb2xkN5qL._AC_UF1000_1000_QL80.jpg?v=1770031187,1,"",false,,,Apple,Blue,"In Box: iPhone
USB‑C Charge Cable (1 m)
Documentation",iPhone 13,Non-Eu,Sim: Physical Sim + Esim,128GB,,,,,,,kg,,,active
samsung-galaxy-s25-fe-8gb-ram-256gb-icy-blue-non-eu,Samsung Galaxy S25 FE - 8GB RAM / 256GB - Icy Blue (Non-Eu),"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Mobile Phone, Samsung",true,Title,Default Title,,,,,,,,SM-S25FE-256IBL,0.0,shopify,10,deny,manual,396.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/S500918523_1.webp?v=1769512520,1,"",false,,,Samsung,Blue,"In Box: Smartphone
Data Cable
Documentation",Galaxy S25 FE,Non-Eu,,256GB,Warranty: No Warranty,,,,,,kg,,,active
xiaomi-redmi-note-15-pro-8gb-ram-256gb-blue-non-eu,Xiaomi Redmi Note 15 Pro - 8GB RAM / 256GB - Blue (Non-Eu),"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Mobile Phone, Xiaomi",true,Title,Default Title,,,,,,,,XMR-15P-256BL,0.0,shopify,0,deny,manual,206.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/baae3549f0012cb1005353043ffa35bf_91902a0b-6bba-4d8e-a001-2fdab4e2246d.png?v=1769678309,1,"",false,,,Xiaomi,Blue,"In Box: Mobile Phone
USB Type-C Cable
Eu Plug (2 Pin)
Documentation",Redmi Note 15 Pro,Non-Eu,,256GB,Warranty: No Warranty,,,,,,kg,,,active
xiaomi-redmi-note-15-pro-8gb-ram-256gb-titanium-non-eu,Xiaomi Redmi Note 15 Pro - 8GB RAM / 256GB - Titanium (Non-Eu),"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Mobile Phone, Xiaomi",true,Title,Default Title,,,,,,,,XMR-15P-256TTN,0.0,shopify,0,deny,manual,206.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/c1df228b2fe9bf2e155442f57f14932c.png?v=1769678275,1,"",false,,,Xiaomi,Titanium,"In Box: Mobile Phone
USB Type-C Cable
Eu Plug (2 Pin)
Documentation",Redmi Note 15 Pro,Non-Eu,,256GB,Warranty: No Warranty,,,,,,kg,,,active
xiaomi-redmi-note-15-pro-12gb-ram-512gb-black-non-eu,Xiaomi Redmi Note 15 Pro - 12GB RAM / 512GB - Black (Non-Eu),"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Mobile Phone, Xiaomi",true,Title,Default Title,,,,,,,,XMR-15P-512BLK,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/c852ab97f06393de318921955c439f6b.webp?v=1769678568,1,"",false,,,Xiaomi,Black,"In Box: Mobile Phone
USB Type-C Cable
Eu Plug (2 Pin)
Documentation",Redmi Note 15 Pro,Non-Eu,,512GB,Warranty: No Warranty,,,,,,kg,,,active
xiaomi-redmi-note-15-pro-12gb-ram-512gb-blue-non-eu,Xiaomi Redmi Note 15 Pro - 12GB RAM / 512GB - Blue (Non-Eu),"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Mobile Phone, Xiaomi",true,Title,Default Title,,,,,,,,XMR-15P-512BL,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/baae3549f0012cb1005353043ffa35bf_91902a0b-6bba-4d8e-a001-2fdab4e2246d.png?v=1769678309,1,"",false,,,Xiaomi,Blue,"In Box: Mobile Phone
USB Type-C Cable
Eu Plug (2 Pin)
Documentation",Redmi Note 15 Pro,Non-Eu,,512GB,Warranty: No Warranty,,,,,,kg,,,active
xiaomi-redmi-note-15-pro-12gb-ram-512gb-titanium-non-eu,Xiaomi Redmi Note 15 Pro - 12GB RAM / 512GB - Titanium (Non-Eu),"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Mobile Phone, Xiaomi",true,Title,Default Title,,,,,,,,XMR-15P-512TTN,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/c1df228b2fe9bf2e155442f57f14932c.png?v=1769678275,1,"",false,,,Xiaomi,Titanium,"In Box: Mobile Phone
USB Type-C Cable
Eu Plug (2 Pin)
Documentation",Redmi Note 15 Pro,Non-Eu,,512GB,Warranty: No Warranty,,,,,,kg,,,active
xiaomi-redmi-note-15-pro-plus-5g-12gb-ram-512gb-black-non-eu,Xiaomi Redmi Note 15 Pro Plus 5G - 12GB RAM / 512GB - Black (Non-Eu),"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Mobile Phone, Xiaomi",true,Title,Default Title,,,,,,,,XMR-15PP6-512BLK,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/c852ab97f06393de318921955c439f6b.webp?v=1769678568,1,"",false,,,Xiaomi,Black,"In Box: Mobile Phone
USB Type-C Cable
Eu Plug (2 Pin)
Documentation",Redmi Note 15 Pro +,Non-Eu,,512GB,Warranty: No Warranty,,,,,,kg,,,active
apple-iphone-17-pro-max-512gb-cosmic-orange,Apple iPhone 17 Pro Max - 512GB - Cosmic Orange,"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Apple, Mobile Phone",true,Title,Default Title,,,,,,,,'0195950639698,0.0,shopify,30,deny,manual,1370.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/972x1200_1.jpg?v=1765874846,1,"",false,,,Apple,Orange,"In Box: iPhone
USB‑C Charge Cable (1 m)
Documentation",iPhone 17 Pro Max,Eu,Sim: Physical Sim + Esim,512GB,,,,,,,kg,,,active
xiaomi-redmi-note-15-pro-8gb-ram-256gb-black,Xiaomi Redmi Note 15 Pro - 8GB RAM / 256GB - Black (Non-Eu),"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Mobile Phone, Xiaomi",true,Title,Default Title,,,,,,,,XMR-15P-256BLK,0.0,shopify,154,deny,manual,206.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/redmi-note-15-pro-5g-256gb-12gb-ram-global-version-black.webp?v=1768986263,1,"",false,,,Xiaomi,Black,"In Box: Mobile Phone
USB Type-C Cable
Eu Plug (2 Pin)
Documentation",Redmi Note 15 Pro,Non-Eu,,256GB,Warranty: No Warranty,,,,,,kg,,,active
xiaomi-redmi-note-15-8gb-ram-256gb-black,Xiaomi Redmi Note 15 - 8GB RAM / 256GB - Black (Non-Eu),"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Apple, Earphone, Netherland",true,Title,Default Title,,,,,,,,XMR-15-256BLK,0.0,shopify,199,deny,manual,153.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/redmi-note-15-5g-256gb-8gb-ram-global-version-black.webp?v=1768986192,1,"",false,,,Xiaomi,Black,"In Box: Mobile Phone
USB Type-C Cable
Eu Plug (2 Pin)
Documentation",Redmi Note 15,Non-Eu,Sim: Physical Sim only,256GB,Warranty: No Warranty,,,,,,kg,,,active
apple-airpods-4th-gen-wireless-stereo-headset-white-3,Apple AirPods (4th Gen) Wireless Stereo Headset White - MXP63ZE/A,"",TechByte,Electronics > Audio > Audio Components > Headphones & Headsets > Headphones > In-Ear Headphones,"","Apple, Earphone, Netherland",true,Title,Default Title,,,,,,,,MXP63ZE/A,0.0,shopify,501,deny,manual,95.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/apple-airpods-4-gen-with-usb-c-charging-case-white-front-view.webp?v=1767687746,1,"",false,,,Apple,White,"In Box: Airpods 4
Charging Case (USB-C)
Documentation
USB-C Charge Cable is sold separately",Airpods 4,Eu,Sim: -,,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
apple-airpods-4th-gen-wireless-stereo-headset-white-2,Apple AirPods (4th Gen) Wireless Stereo Headset White - MXP63LL/A,"",TechByte,Electronics > Audio > Audio Components > Headphones & Headsets > Headphones > In-Ear Headphones,"","Apple, Earphone, Netherland",true,Title,Default Title,,,,,,,,MXP63LL/A,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/apple-airpods-4-gen-with-usb-c-charging-case-white-front-view.webp?v=1767687746,1,"",false,,,Apple,White,"In Box: Airpods 4
Charging Case (USB-C)
Documentation
USB-C Charge Cable is sold separately",Airpods 4,Non-Eu,Sim: -,,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
apple-airpods-4th-gen-wireless-stereo-headset-1,Apple AirPods (4th Gen) Wireless Stereo Headset - MXP93ZM/A,"",TechByte,Electronics > Audio > Audio Components > Headphones & Headsets > Headphones > In-Ear Headphones,"","Apple, Earphone",true,Title,Default Title,,,,,,,,MXP93ZM/A,0.0,shopify,20,deny,manual,117.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/apple-airpods-4-gen-with-usb-c-charging-case-white-front-view.webp?v=1767687746,1,"",false,,,Apple,White,"In Box: Airpods 4 with Active Noise Cancellation
Charging Case (USB-C) with speaker
Documentation
USB-C Charge Cable is sold separately",Airpods 4,Eu,Sim: -,,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
apple-airpods-4th-gen-wireless-stereo-headset-white-1,Apple AirPods (4th Gen) Wireless Stereo Headset White - MXP63ZM/A,"",TechByte,Electronics > Audio > Audio Components > Headphones & Headsets > Headphones > In-Ear Headphones,"","Apple, Earphone",true,Title,Default Title,,,,,,,,MXP63ZM/A,0.0,shopify,18,deny,manual,83.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/apple-airpods-4-gen-with-usb-c-charging-case-white-front-view.webp?v=1767687746,1,"",false,,,Apple,White,"In Box: Airpods 4
Charging Case (USB-C)
Documentation
USB-C Charge Cable is sold separately",Airpods 4,Eu,Sim: -,,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
samsung-a32-4g-black,Samsung A32 4G Black,"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Mobile Phone, Samsung",true,Title,Default Title,,,,,,,,'8806092082649,0.0,shopify,0,deny,manual,149.00,,true,true,,,,,,,,,false,,,Samsung,,,,,,,,,,,,,kg,,,active
apple-airpods-2-mv7n2zm-a,Apple AirPods 2 - MV7N2ZM/A,"",TechByte,Electronics > Audio > Audio Components > Headphones & Headsets > Headphones > In-Ear Headphones,"","Apple, Earphone",true,Title,Default Title,,,,,,,,'0190199098572,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/907x1200_a0d717e6-6fd9-4130-b6c2-6a5eee6d2ef3.jpg?v=1766222972,1,"",false,,,Apple,White,"In Box: Airpods (2nd generation)
Lightning Charging Case
Documentation
Lightning to USB?A Cable",AirPods 2,Eu,Sim: -,,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
apple-airpods-3-ty-a,Apple AirPods 3 - MME73TYA,"",TechByte,Electronics > Audio > Audio Components > Headphones & Headsets > Headphones > In-Ear Headphones,"","Apple, Earphone",true,Title,Default Title,,,,,,,,MME73TYA,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/A3_3fff4614-b3f0-4c84-b069-156a59ee3005.jpg?v=1766222970,1,"",false,,,Apple,White,,AirPods 3,Eu,Sim: -,,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
